cell_id,x,y,sample_id,condition,genotype,cell_type,niche_k12,niche_k8,niche_k10
output-XETG00045__0059976__litt_24h__20250725__091031_aakdamjl-1,778.9300537109375,3516.037109375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,3,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aakehcjo-1,788.4856567382812,3511.662109375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,3,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aakepnam-1,788.6734619140625,3522.81640625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Endothelial Cell (angiogenic pericyte),3,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aakfdeio-1,673.3524169921875,3510.861572265625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Macrophage (IFN+ M1/M2),4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aakflegh-1,602.5170288085938,3555.0458984375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aakifcbg-1,745.7300415039062,3254.090576171875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,M2-like Macrophage,3,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aakjlfgo-1,738.7314453125,3334.60498046875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Activated Macrophage,3,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aakonglb-1,882.232666015625,3566.85546875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,M2-like Macrophage,3,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aalcacgk-1,844.575439453125,3745.622314453125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Stressed Skeletal Muscle Fiber (glycolytic),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aalehmbn-1,897.002685546875,3791.769287109375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aaljnkef-1,880.0853881835938,3666.46728515625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aamcpdpo-1,864.5550537109375,3645.353759765625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,IFNγ-Conditioned Macrophage,2,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_aamgejmi-1,872.9976806640625,3825.7900390625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aamhodne-1,897.5668334960938,3874.53759765625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Cell (myoblast/myotube),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aamlnebh-1,885.9214477539062,3865.451416015625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aamoncdh-1,851.0679931640625,3850.458251953125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Stress-Responsive Epithelial Cell (TP63- KRT71+),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aanadafb-1,896.8582763671875,3851.6181640625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aanbpblp-1,843.7345581054688,3884.319091796875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,IL33+ Inflammatory Fibroblast,8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aancbojn-1,865.9853515625,3686.545654296875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aancjmcm-1,840.9222412109375,3726.170654296875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aandllii-1,840.5458984375,3710.126953125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aanfdaid-1,836.6463012695312,3691.82861328125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aaoedfhi-1,640.3931274414062,3631.867919921875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Monocytic MDSC (Ccr2+),4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaofgoam-1,643.8059692382812,3662.48779296875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
