,gene,comparison,log2fc,pval,padj,mean_logCPM_case,mean_logCPM_ctrl,n_case_samples,n_ctrl_samples,mode
11847,Meis2,Oprl1_cre_vs_C57_wt,-0.39759592791290643,0.10844187051918679,0.2702283783543776,7.808572933926067,8.206168861838973,2,3,pseudobulk_mean
11848,Kcnc4,Oprl1_cre_vs_C57_wt,1.4275782787690061,0.10865218435588547,0.2705114143323962,3.054579424104014,1.627001145335008,2,3,pseudobulk_mean
11849,Scimp,Oprl1_cre_vs_C57_wt,-0.6806806462745207,0.1086651040143513,0.2705114143323962,2.7460071019619643,3.426687748236485,2,3,pseudobulk_mean
11850,Tmem106b,Oprl1_cre_vs_C57_wt,0.23670376532545756,0.1088679694160858,0.27087975849670565,8.095764203475984,7.859060438150526,2,3,pseudobulk_mean
11851,Exph5,Oprl1_cre_vs_C57_wt,2.041340884184413,0.1091058630182878,0.2711827238546879,5.885095336593135,3.843754452408722,2,3,pseudobulk_mean
11852,Sdk1,Oprl1_cre_vs_C57_wt,-0.8271507926123709,0.10916781012720606,0.2711827238546879,4.629386028675453,5.456536821287824,2,3,pseudobulk_mean
11853,Kmt2c,Oprl1_cre_vs_C57_wt,0.33822018061187986,0.10920631344494618,0.2711827238546879,7.17844345048951,6.84022326987763,2,3,pseudobulk_mean
11854,Tnnc1,Oprl1_cre_vs_C57_wt,0.3274979629714634,0.10920958092810394,0.2711827238546879,1.332063733993731,1.0045657710222675,2,3,pseudobulk_mean
11855,Adamts3,Oprl1_cre_vs_C57_wt,2.661349120416949,0.10927562092009126,0.2712102181185766,4.423463493937296,1.7621143735203475,2,3,pseudobulk_mean
11856,Pitx1,Oprl1_cre_vs_C57_wt,0.8881117044931335,0.10964248564816219,0.27149784738229865,1.5528727357626488,0.6647610312695154,2,3,pseudobulk_mean
11857,Rasgrf1,Oprl1_cre_vs_C57_wt,1.0782231745328827,0.10968869876173112,0.27149784738229865,1.9046468643652297,0.8264236898323469,2,3,pseudobulk_mean
11858,Cd200,Oprl1_cre_vs_C57_wt,1.4306326218566405,0.1097176690339779,0.27149784738229865,5.30920469141125,3.8785720695546098,2,3,pseudobulk_mean
11859,Cav3,Oprl1_cre_vs_C57_wt,1.3487551222051657,0.10980382703297181,0.27149784738229865,2.0142354850447326,0.6654803628395668,2,3,pseudobulk_mean
11860,Ppp1cc,Oprl1_cre_vs_C57_wt,-1.037025314462058,0.10985005503025913,0.27149784738229865,6.279007674667251,7.316032989129309,2,3,pseudobulk_mean
11861,Parp1,Oprl1_cre_vs_C57_wt,-0.17498100359525282,0.10989108308521688,0.27149784738229865,8.426877286921922,8.601858290517175,2,3,pseudobulk_mean
11862,Dnah11,Oprl1_cre_vs_C57_wt,1.4800885883444308,0.11000636869069251,0.27149784738229865,1.5769821035521694,0.09689351520773858,2,3,pseudobulk_mean
11863,Parp2,Oprl1_cre_vs_C57_wt,0.17941778835624334,0.11004368745271395,0.27149784738229865,7.4123016919063325,7.232883903550089,2,3,pseudobulk_mean
11864,Cdk4,Oprl1_cre_vs_C57_wt,-0.1404319342762852,0.11010507158706892,0.27149784738229865,4.683650499390216,4.824082433666502,2,3,pseudobulk_mean
11865,Map2k2,Oprl1_cre_vs_C57_wt,-0.07301044236460008,0.11010967444183002,0.27149784738229865,9.605575164884915,9.678585607249515,2,3,pseudobulk_mean
11866,Crocc,Oprl1_cre_vs_C57_wt,-0.4130156019060003,0.1101173345940639,0.27149784738229865,7.350248467770597,7.763264069676597,2,3,pseudobulk_mean
11867,Sgo1,Oprl1_cre_vs_C57_wt,0.2223909058194682,0.1101865113618778,0.27149784738229865,6.516419711101337,6.294028805281869,2,3,pseudobulk_mean
11868,Fgf3,Oprl1_cre_vs_C57_wt,1.192440895271653,0.11029028681650024,0.27149784738229865,1.3037880658201875,0.11134717054853442,2,3,pseudobulk_mean
11869,Hspa5,Oprl1_cre_vs_C57_wt,0.5841988430305083,0.11031173020376227,0.27149784738229865,12.198776703909447,11.614577860878939,2,3,pseudobulk_mean
11870,Hcn4,Oprl1_cre_vs_C57_wt,1.131527508547101,0.11037054999863748,0.27149784738229865,1.6956888022222056,0.5641612936751045,2,3,pseudobulk_mean
11871,Fzd8,Oprl1_cre_vs_C57_wt,1.4932545378892723,0.11039616305314612,0.27149784738229865,3.4901701294359384,1.996915591546666,2,3,pseudobulk_mean
11872,Abcf1,Oprl1_cre_vs_C57_wt,0.3868453207810685,0.11042846430403173,0.27149784738229865,9.544053537989438,9.15720821720837,2,3,pseudobulk_mean
11873,Eif4e,Oprl1_cre_vs_C57_wt,-0.11234695235842285,0.11050282899794867,0.27149784738229865,6.964501611819546,7.076848564177969,2,3,pseudobulk_mean
11874,Col1a1,Oprl1_cre_vs_C57_wt,-1.3217507211857846,0.11050378038839181,0.27149784738229865,8.667576867336926,9.98932758852271,2,3,pseudobulk_mean
11875,Cntn1,Oprl1_cre_vs_C57_wt,1.6318485172458408,0.11053600275481744,0.27149784738229865,2.8501619446028803,1.2183134273570395,2,3,pseudobulk_mean
11876,Hhex,Oprl1_cre_vs_C57_wt,-0.7354737568478145,0.11054705622031576,0.27149784738229865,3.958677903759871,4.694151660607686,2,3,pseudobulk_mean
11877,S100b,Oprl1_cre_vs_C57_wt,-0.3501435368468666,0.11077662682607438,0.271926306845697,7.8654996470222365,8.215643183869103,2,3,pseudobulk_mean
11878,Fyn,Oprl1_cre_vs_C57_wt,-0.3817680903257248,0.1111026185347271,0.27259090992060836,8.283232118984085,8.66500020930981,2,3,pseudobulk_mean
11879,Atn1,Oprl1_cre_vs_C57_wt,-0.6334228288839805,0.1114215902615235,0.2730114578281141,7.513003397672917,8.146426226556898,2,3,pseudobulk_mean
11880,Tfap2c,Oprl1_cre_vs_C57_wt,2.541458900340557,0.11145438125447638,0.2730114578281141,7.27287462995101,4.731415729610453,2,3,pseudobulk_mean
11881,Adrb3,Oprl1_cre_vs_C57_wt,1.8784430992823224,0.11146152005194562,0.2730114578281141,3.4525563114110693,1.5741132121287469,2,3,pseudobulk_mean
11882,Nagk,Oprl1_cre_vs_C57_wt,-0.7283619487217505,0.11149535620665788,0.2730114578281141,6.418637381939359,7.146999330661109,2,3,pseudobulk_mean
11883,Slc9a8,Oprl1_cre_vs_C57_wt,-0.5632961369805081,0.11161763353378151,0.27317207022556006,6.329231673537941,6.892527810518449,2,3,pseudobulk_mean
11884,Bex3,Oprl1_cre_vs_C57_wt,0.33433549849234545,0.11167167929569408,0.27317207022556006,9.115519962097203,8.781184463604857,2,3,pseudobulk_mean
11885,Vit,Oprl1_cre_vs_C57_wt,0.7749923503414823,0.1117648618737198,0.27320566226848686,1.574335980716679,0.7993436303751967,2,3,pseudobulk_mean
11886,Sec24c,Oprl1_cre_vs_C57_wt,-0.42657995876233024,0.1117961556789775,0.27320566226848686,8.829782686914971,9.256362645677301,2,3,pseudobulk_mean
