,gene,comparison,log2fc,pval,padj,mean_logCPM_case,mean_logCPM_ctrl,n_case_samples,n_ctrl_samples,mode
17044,Slc39a5,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
17045,Sox1,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
17046,Tbpl2,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
17047,Trpc4,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
17048,Dmbx1,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17049,Dpp10,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17050,Galntl5,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17051,Hcn2,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17052,Hoxc10,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17053,Hoxd12,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17054,Il5,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17055,Nkx2-5,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17056,Oprk1,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17057,Pkd2l1,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17058,Six6,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17059,Slc17a2,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17060,Slc17a6,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17061,Slc18a3,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17062,Tacr2,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17063,Tshb,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17064,Vax1,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17065,Wnt2,cre_72h_vs_litt_72h,-0.3482031079684638,0.42264973081037427,0.8932751903536521,0.0,0.3482031079684638,3,3,pseudobulk_mean
17066,Dbh,cre_72h_vs_litt_72h,-0.6611627050939745,0.42264973081037427,0.8932751903536521,0.0,0.6611627050939745,3,3,pseudobulk_mean
17067,Foxi1,cre_72h_vs_litt_72h,-0.6611627050939745,0.42264973081037427,0.8932751903536521,0.0,0.6611627050939745,3,3,pseudobulk_mean
